ID,rodada,data,hora,mandante,visitante,formacao_mandante,formacao_visitante,tecnico_mandante,tecnico_visitante,vencedor,estadio,mandante_placar,visitante_placar,mandante_estado,visitante_estado,ano,mes,dia_semana,resultado,total_gols
6922,4,2020-08-19,21:30,Botafogo-RJ,Atlético-MG,4-4-2,4-2-3-1,P. Autuori de Mello,J. Sampaoli Moya,Botafogo-RJ,Estádio Nilton Santos,2,1,RJ,MG,2020,8,Wednesday,Vitória mandante,3
6923,4,2020-08-20,19:15,Sport,Santos,4-2-3-1,4-3-3,D. Pollo Barioni,A. Stival,Santos,Adelmar da Costa Carvalho,0,1,PE,SP,2020,8,Thursday,Vitória visitante,1
6924,4,2020-08-20,20:00,Ceara,Vasco,4-1-4-1,4-4-2,A. Ferreira,R. Menezes Hubner,Vasco,Arena Castelão,0,3,CE,RJ,2020,8,Thursday,Vitória visitante,3
6925,4,2020-08-20,20:00,Sao Paulo,Bahia,4-2-3-1,4-2-3-1,F. Diniz Silva,R. Machado Marques,-,Morumbi,1,1,SP,BA,2020,8,Thursday,Empate,2
6926,5,2020-08-22,16:00,Athletico-PR,Fluminense,4-3-3,4-2-3-1,L. Porto Siqueira,O. Hellmann,Fluminense,Estádio Joaquim Américo Guimarães,0,1,PR,RJ,2020,8,Saturday,Vitória visitante,1
6927,5,2020-08-22,18:59,Internacional,Atlético-MG,4-2-3-1,3-4-1-2,E. Coudet,J. Sampaoli Moya,Internacional,Estádio José Pinheiro Borda,1,0,RS,MG,2020,8,Saturday,Vitória mandante,1
6928,5,2020-08-22,21:00,Goias,Atletico-GO,4-3-3,4-2-3-1,G. Ramos da Silva,V. Carmo Mancini,Goias,Estádio da Serrinha,2,0,GO,GO,2020,8,Saturday,Vitória mandante,2
6929,5,2020-08-23,11:03,Flamengo,Botafogo-RJ,4-4-2,5-4-1,D. Torrent Font,P. Autuori de Mello,-,Maracanã,1,1,RJ,RJ,2020,8,Sunday,Empate,2
6930,5,2020-08-23,16:00,Vasco,Gremio,4-1-4-1,4-2-3-1,R. Menezes Hubner,Renato Gaúcho,-,Estádio Vasco da Gama,0,0,RJ,RS,2020,8,Sunday,Empate,0
6932,5,2020-08-23,16:01,Bragantino,Coritiba,4-3-3,4-2-3-1,F. de Oliveira Conceição,M. Santos Batista Júnior,Coritiba,Nabizão,1,2,SP,PR,2020,8,Sunday,Vitória visitante,3
6931,5,2020-08-23,16:02,Palmeiras,Santos,4-2-3-1,4-3-3,V. Luxemburgo da Silva,A. Stival,Palmeiras,Morumbi,2,1,SP,SP,2020,8,Sunday,Vitória mandante,3
6933,5,2020-08-23,18:59,Sport,Sao Paulo,4-2-3-1,4-3-3,D. Pollo Barioni,F. Diniz Silva,Sao Paulo,Adelmar da Costa Carvalho,0,1,PE,SP,2020,8,Sunday,Vitória visitante,1
6934,5,2020-08-23,20:00,Ceara,Bahia,4-2-3-1,4-2-3-1,A. Ferreira,R. Machado Marques,Ceara,Arena Castelão,2,0,CE,BA,2020,8,Sunday,Vitória mandante,2
6935,5,2020-08-26,21:30,Corinthians,Fortaleza,4-2-3-1,4-2-3-1,T. Retzalff Nunes,R. Ceni,-,Neo Química Arena,1,1,SP,CE,2020,8,Wednesday,Empate,2
6936,11,2020-08-26,19:00,Sao Paulo,Athletico-PR,4-3-3,4-3-3,F. Diniz Silva,D. Silvestre Júnior,Sao Paulo,Morumbi,1,0,SP,PR,2020,8,Wednesday,Vitória mandante,1
6946,6,2020-08-29,17:00,Botafogo-RJ,Internacional,4-3-3,4-1-2-1-2,P. Autuori de Mello,E. Coudet,Internacional,Estádio Nilton Santos,0,2,RJ,RS,2020,8,Saturday,Vitória visitante,2
6947,6,2020-08-29,19:00,Fluminense,Vasco,4-2-3-1,4-1-4-1,O. Hellmann,R. Menezes Hubner,Fluminense,Maracanã,2,1,RJ,RJ,2020,8,Saturday,Vitória mandante,3
6948,6,2020-08-29,19:00,Bahia,Palmeiras,4-2-3-1,4-2-3-1,R. Machado Marques,V. Luxemburgo da Silva,-,Estádio de Pituaçu,1,1,BA,SP,2020,8,Saturday,Empate,2
6949,6,2020-08-29,21:00,Fortaleza,Bragantino,4-2-3-1,4-1-4-1,R. Ceni,F. de Oliveira Conceição,Fortaleza,Arena Castelão,3,0,CE,SP,2020,8,Saturday,Vitória mandante,3
6950,6,2020-08-30,11:00,Sao Paulo,Corinthians,4-3-3,4-2-3-1,F. Diniz Silva,T. Retzalff Nunes,Sao Paulo,Morumbi,2,1,SP,SP,2020,8,Sunday,Vitória mandante,3
6952,6,2020-08-30,16:00,Santos,Flamengo,4-3-3,4-2-3-1,A. Stival,D. Torrent Font,Flamengo,Estádio Urbano Caldeira,0,1,SP,RJ,2020,8,Sunday,Vitória visitante,1
6951,6,2020-08-30,16:01,Coritiba,Sport,4-3-3,4-4-2,J. de Amorim Campos,J. Ribeiro Ventura,Coritiba,Couto Pereira,1,0,PR,PE,2020,8,Sunday,Vitória mandante,1
6953,6,2020-08-30,18:01,Atletico-GO,Ceara,4-2-3-1,4-2-3-1,V. Carmo Mancini,A. Ferreira,Ceara,Estádio Olímpico Pedro Ludovico Teixeira,0,2,GO,CE,2020,8,Sunday,Vitória visitante,2
6956,7,2020-09-02,19:02,Ceara,Fortaleza,4-2-3-1,4-2-3-1,A. Ferreira,R. Ceni,Ceara,Arena Castelão,1,0,CE,CE,2020,9,Wednesday,Vitória mandante,1
6957,7,2020-09-02,19:15,Fluminense,Atletico-GO,4-4-2,4-2-3-1,O. Hellmann,V. Carmo Mancini,-,Maracanã,1,1,RJ,GO,2020,9,Wednesday,Empate,2
6958,7,2020-09-02,19:16,Goias,Corinthians,4-3-3,4-2-3-1,T. Mendes Larghi,T. Retzalff Nunes,Corinthians,Estádio da Serrinha,1,2,GO,SP,2020,9,Wednesday,Vitória visitante,3
6959,7,2020-09-02,20:30,Botafogo-RJ,Coritiba,4-2-3-1,4-3-3,P. Autuori de Mello,J. de Amorim Campos,-,Estádio Nilton Santos,0,0,RJ,PR,2020,9,Wednesday,Empate,0
6961,7,2020-09-02,20:30,Bahia,Flamengo,4-2-3-1,4-2-3-1,R. Machado Marques,D. Torrent Font,Flamengo,Estádio de Pituaçu,3,5,BA,RJ,2020,9,Wednesday,Vitória visitante,8
6960,7,2020-09-02,20:31,Athletico-PR,Bragantino,4-2-3-1,4-2-3-1,E. de Barros,M. Freitas Rocha da Silva,-,Estádio Joaquim Américo Guimarães,1,1,PR,SP,2020,9,Wednesday,Empate,2
6962,7,2020-09-02,21:29,Palmeiras,Internacional,4-3-2-1,4-1-2-1-2,V. Luxemburgo da Silva,E. Coudet,-,Allianz Parque,1,1,SP,RS,2020,9,Wednesday,Empate,2
6963,7,2020-09-02,21:29,Santos,Vasco,4-3-3,4-1-4-1,A. Stival,R. Menezes Hubner,-,Estádio Urbano Caldeira,2,2,SP,RJ,2020,9,Wednesday,Empate,4
6964,7,2020-09-03,19:01,Gremio,Sport,4-2-3-1,4-2-3-1,Renato Gaúcho,J. Ribeiro Ventura,Sport,Arena do Grêmio,1,2,RS,PE,2020,9,Thursday,Vitória visitante,3
6965,7,2020-09-03,20:00,Atlético-MG,Sao Paulo,4-2-3-1,4-2-3-1,J. Sampaoli Moya,F. Diniz Silva,Atletico-MG,Mineirão,3,0,MG,SP,2020,9,Thursday,Vitória mandante,3
6968,8,2020-09-05,13:00,Ceara,Santos,4-2-3-1,4-2-3-1,A. Ferreira,A. Stival,Santos,Arena Castelão,0,1,CE,SP,2020,9,Saturday,Vitória visitante,1
6966,8,2020-09-05,16:59,Flamengo,Fortaleza,4-2-3-1,4-2-3-1,D. Torrent Font,R. Ceni,Flamengo,Maracanã,2,1,RJ,CE,2020,9,Saturday,Vitória mandante,3
6967,8,2020-09-05,19:00,Corinthians,Botafogo-RJ,4-2-3-1,3-5-2,T. Retzalff Nunes,P. Autuori de Mello,-,Neo Química Arena,2,2,SP,RJ,2020,9,Saturday,Empate,4
6969,8,2020-09-06,11:01,Bragantino,Palmeiras,4-2-3-1,4-1-4-1,M. Nogueira Barbieri,V. Luxemburgo da Silva,Palmeiras,Nabizão,1,2,SP,SP,2020,9,Sunday,Vitória visitante,3
6970,8,2020-09-06,16:00,Internacional,Bahia,4-3-1-2,4-1-2-1-2,E. Coudet,C. Prates,-,Estádio José Pinheiro Borda,2,2,RS,BA,2020,9,Sunday,Empate,4
6971,8,2020-09-06,16:01,Sao Paulo,Fluminense,4-2-3-1,4-2-3-1,F. Diniz Silva,O. Hellmann,Sao Paulo,Morumbi,3,1,SP,RJ,2020,9,Sunday,Vitória mandante,4
6972,8,2020-09-06,18:00,Vasco,Athletico-PR,4-2-3-1,4-1-4-1,R. Menezes Hubner,E. de Barros,Vasco,Estádio Vasco da Gama,1,0,RJ,PR,2020,9,Sunday,Vitória mandante,1
6973,8,2020-09-06,18:59,Atletico-GO,Gremio,4-2-3-1,4-2-3-1,V. Carmo Mancini,Renato Gaúcho,-,Estádio Olímpico Pedro Ludovico Teixeira,1,1,GO,RS,2020,9,Sunday,Empate,2
6974,8,2020-09-06,20:32,Sport,Goias,4-2-3-1,4-3-3,J. Ribeiro Ventura,T. Mendes Larghi,Sport,Adelmar da Costa Carvalho,2,1,PE,GO,2020,9,Sunday,Vitória mandante,3
6975,8,2020-09-06,20:32,Coritiba,Atlético-MG,4-2-3-1,4-1-4-1,J. de Amorim Campos,J. Sampaoli Moya,Atletico-MG,Couto Pereira,0,1,PR,MG,2020,9,Sunday,Vitória visitante,1
6976,9,2020-09-09,17:30,Athletico-PR,Botafogo-RJ,4-1-4-1,3-4-3,E. de Barros,P. Autuori de Mello,-,Estádio Joaquim Américo Guimarães,1,1,PR,RJ,2020,9,Wednesday,Empate,2
6977,9,2020-09-09,18:00,Fortaleza,Sport,4-2-3-1,4-2-3-1,R. Ceni,J. Ribeiro Ventura,Fortaleza,Arena Castelão,1,0,CE,PE,2020,9,Wednesday,Vitória mandante,1
6978,9,2020-09-09,18:03,Goias,Coritiba,4-3-3,4-2-3-1,T. Mendes Larghi,J. de Amorim Campos,-,Estádio da Serrinha,3,3,GO,PR,2020,9,Wednesday,Empate,6
6979,9,2020-09-09,19:15,Sao Paulo,Bragantino,4-2-3-1,4-4-2,F. Diniz Silva,M. Nogueira Barbieri,-,Morumbi,1,1,SP,SP,2020,9,Wednesday,Empate,2
6980,9,2020-09-09,21:30,Fluminense,Flamengo,4-1-4-1,4-2-3-1,O. Hellmann,D. Torrent Font,Flamengo,Maracanã,1,2,RJ,RJ,2020,9,Wednesday,Vitória visitante,3
6981,9,2020-09-09,21:30,Santos,Atlético-MG,4-3-3,4-2-3-1,A. Stival,J. Sampaoli Moya,Santos,Estádio Urbano Caldeira,3,1,SP,MG,2020,9,Wednesday,Vitória mandante,4
6983,9,2020-09-10,19:14,Corinthians,Palmeiras,4-2-3-1,4-1-4-1,T. Retzalff Nunes,V. Luxemburgo da Silva,Palmeiras,Neo Química Arena,0,2,SP,SP,2020,9,Thursday,Vitória visitante,2
6982,9,2020-09-10,19:15,Internacional,Ceara,4-3-1-2,4-2-3-1,E. Coudet,A. Ferreira,Internacional,Estádio José Pinheiro Borda,2,0,RS,CE,2020,9,Thursday,Vitória mandante,2
6984,9,2020-09-10,19:16,Bahia,Gremio,4-3-1-2,4-2-3-1,C. Prates,Renato Gaúcho,Gremio,Estádio de Pituaçu,0,2,BA,RS,2020,9,Thursday,Vitória visitante,2
6985,9,2020-09-10,21:00,Vasco,Atletico-GO,4-2-3-1,4-2-3-1,R. Menezes Hubner,V. Carmo Mancini,Atletico-GO,Estádio Vasco da Gama,1,2,RJ,GO,2020,9,Thursday,Vitória visitante,3
6986,10,2020-09-12,16:29,Athletico-PR,Coritiba,4-4-2,4-2-3-1,E. de Barros,J. de Amorim Campos,Athletico-PR,Estádio Joaquim Américo Guimarães,1,0,PR,PR,2020,9,Saturday,Vitória mandante,1
6987,10,2020-09-12,18:59,Santos,Sao Paulo,4-2-3-1,4-3-3,A. Stival,F. Diniz Silva,-,Estádio Urbano Caldeira,2,2,SP,SP,2020,9,Saturday,Empate,4
6988,10,2020-09-13,16:00,Fluminense,Corinthians,4-2-3-1,4-1-4-1,O. Hellmann,Coelho,Fluminense,Maracanã,2,1,RJ,SP,2020,9,Sunday,Vitória mandante,3
6989,10,2020-09-13,16:00,Gremio,Fortaleza,4-2-3-1,4-2-3-1,Renato Gaúcho,R. Ceni,-,Arena do Grêmio,1,1,RS,CE,2020,9,Sunday,Empate,2
6990,10,2020-09-13,18:00,Atlético-MG,Bragantino,3-5-2,5-4-1,J. Desio,M. Nogueira Barbieri,Atletico-MG,Mineirão,2,1,MG,SP,2020,9,Sunday,Vitória mandante,3
6991,10,2020-09-13,18:00,Bahia,Atletico-GO,4-1-4-1,4-2-3-1,L. Venker de Menezes,V. Carmo Mancini,Atletico-GO,Estádio de Pituaçu,0,1,BA,GO,2020,9,Sunday,Vitória visitante,1
6992,10,2020-09-13,18:00,Ceara,Flamengo,4-4-2,4-2-3-1,A. Ferreira,D. Torrent Font,Ceara,Arena Castelão,2,0,CE,RJ,2020,9,Sunday,Vitória mandante,2
6993,10,2020-09-13,18:01,Goias,Internacional,4-1-4-1,4-2-3-1,T. Mendes Larghi,E. Coudet,Goias,Estádio da Serrinha,1,0,GO,RS,2020,9,Sunday,Vitória mandante,1
6994,10,2020-09-13,19:46,Palmeiras,Sport,4-2-3-1,4-2-3-1,V. Luxemburgo da Silva,J. Ribeiro Ventura,-,Allianz Parque,2,2,SP,PE,2020,9,Sunday,Empate,4
6995,10,2020-09-13,20:29,Botafogo-RJ,Vasco,3-4-3,4-2-3-1,P. Autuori de Mello,R. Menezes Hubner,Vasco,Estádio Nilton Santos,2,3,RJ,RJ,2020,9,Sunday,Vitória visitante,5
6937,11,2020-09-16,21:32,Corinthians,Bahia,4-2-3-1,4-2-3-1,Coelho,L. Venker de Menezes,Corinthians,Neo Química Arena,3,2,SP,BA,2020,9,Wednesday,Vitória mandante,5
6938,11,2020-09-19,19:01,Fortaleza,Internacional,4-2-3-1,4-1-2-1-2,R. Ceni,E. Coudet,Fortaleza,Arena Castelão,1,0,CE,RS,2020,9,Saturday,Vitória mandante,1
6939,11,2020-09-19,19:01,Bragantino,Ceara,4-3-3,4-2-3-1,M. Nogueira Barbieri,A. Ferreira,Bragantino,Nabizão,4,2,SP,CE,2020,9,Saturday,Vitória mandante,6
6940,11,2020-09-19,21:00,Atletico-GO,Atlético-MG,4-2-3-1,4-3-3,V. Carmo Mancini,J. Sampaoli Moya,Atletico-MG,Estádio Olímpico Pedro Ludovico Teixeira,3,4,GO,MG,2020,9,Saturday,Vitória visitante,7
6941,11,2020-09-20,16:00,Gremio,Palmeiras,4-5-1,4-3-2-1,Renato Gaúcho,V. Luxemburgo da Silva,-,Arena do Grêmio,1,1,RS,SP,2020,9,Sunday,Empate,2
6942,11,2020-09-20,16:00,Coritiba,Vasco,4-3-3,4-2-3-1,J. de Amorim Campos,T. Kosloski,Coritiba,Couto Pereira,1,0,PR,RJ,2020,9,Sunday,Vitória mandante,1
6943,11,2020-09-20,18:15,Botafogo-RJ,Santos,4-4-2,4-3-3,P. Autuori de Mello,A. Stival,-,Estádio Nilton Santos,0,0,RJ,SP,2020,9,Sunday,Empate,0
6944,11,2020-09-20,20:29,Sport,Fluminense,4-3-3,4-1-2-1-2,J. Ribeiro Ventura,O. Hellmann,Sport,Adelmar da Costa Carvalho,1,0,PE,RJ,2020,9,Sunday,Vitória mandante,1
6996,12,2020-09-23,21:30,Sport,Corinthians,4-2-3-1,4-2-3-1,J. Ribeiro Ventura,Coelho,Sport,Adelmar da Costa Carvalho,1,0,PE,SP,2020,9,Wednesday,Vitória mandante,1
6997,12,2020-09-26,18:59,Athletico-PR,Bahia,4-3-3,4-4-2,E. de Barros,L. Venker de Menezes,Athletico-PR,Estádio Joaquim Américo Guimarães,1,0,PR,BA,2020,9,Saturday,Vitória mandante,1
6998,12,2020-09-26,19:00,Internacional,Sao Paulo,4-2-3-1,4-2-3-1,E. Coudet,F. Diniz Silva,-,Estádio José Pinheiro Borda,1,1,RS,SP,2020,9,Saturday,Empate,2
6999,12,2020-09-26,21:00,Atlético-MG,Gremio,4-2-3-1,4-2-3-1,J. Sampaoli Moya,Renato Gaúcho,Atletico-MG,Mineirão,3,1,MG,RS,2020,9,Saturday,Vitória mandante,4
7000,12,2020-09-27,11:01,Vasco,Bragantino,4-2-3-1,4-3-3,R. Menezes Hubner,M. Nogueira Barbieri,-,Estádio Vasco da Gama,1,1,RJ,SP,2020,9,Sunday,Empate,2
7001,12,2020-09-27,16:22,Palmeiras,Flamengo,4-1-4-1,4-2-3-1,V. Luxemburgo da Silva,J. Guerrero,-,Allianz Parque,1,1,SP,RJ,2020,9,Sunday,Empate,2
7003,12,2020-09-27,18:14,Atletico-GO,Botafogo-RJ,4-2-3-1,3-4-2-1,V. Carmo Mancini,P. Autuori de Mello,-,Estádio Olímpico Pedro Ludovico Teixeira,1,1,GO,RJ,2020,9,Sunday,Empate,2
7002,12,2020-09-27,18:18,Ceara,Goias,4-2-3-1,4-1-4-1,A. Ferreira,T. Mendes Larghi,-,Arena Castelão,2,2,CE,GO,2020,9,Sunday,Empate,4
7004,12,2020-09-27,20:30,Santos,Fortaleza,4-1-4-1,4-2-3-1,A. Stival,R. Ceni,-,Estádio Urbano Caldeira,1,1,SP,CE,2020,9,Sunday,Empate,2
7005,12,2020-09-28,20:00,Fluminense,Coritiba,4-2-3-1,4-2-3-1,O. Hellmann,J. de Amorim Campos,Fluminense,Estádio Nilton Santos,4,0,RJ,PR,2020,9,Monday,Vitória mandante,4
6892,1,2020-09-30,21:30,Corinthians,Atletico-GO,4-4-2,4-2-3-1,Coelho,V. Carmo Mancini,-,Neo Química Arena,0,0,SP,GO,2020,9,Wednesday,Empate,0
6893,1,2020-09-30,21:30,Botafogo-RJ,Bahia,3-4-1-2,4-4-2,P. Autuori de Mello,L. Venker de Menezes,Bahia,Estádio Nilton Santos,1,2,RJ,BA,2020,9,Wednesday,Vitória visitante,3
7006,13,2020-10-03,17:00,Gremio,Internacional,4-1-4-1,4-1-3-2,Renato Gaúcho,E. Coudet,-,Arena do Grêmio,1,1,RS,RS,2020,10,Saturday,Empate,2
7007,13,2020-10-03,19:00,Palmeiras,Ceara,4-2-3-1,4-2-3-1,V. Luxemburgo da Silva,A. Ferreira,Palmeiras,Allianz Parque,2,1,SP,CE,2020,10,Saturday,Vitória mandante,3
7008,13,2020-10-03,21:01,Bragantino,Corinthians,4-1-4-1,4-2-3-1,M. Nogueira Barbieri,Coelho,-,Nabizão,0,0,SP,SP,2020,10,Saturday,Empate,0
7015,13,2020-10-04,09:02,Atlético-MG,Vasco,4-1-4-1,4-2-3-1,J. Sampaoli Moya,R. Menezes Hubner,Atletico-MG,Mineirão,4,1,MG,RJ,2020,10,Sunday,Vitória mandante,5
7009,13,2020-10-04,11:00,Botafogo-RJ,Fluminense,4-3-3,4-2-3-1,B. Lazaroni,O. Hellmann,-,Estádio Nilton Santos,1,1,RJ,RJ,2020,10,Sunday,Empate,2
7010,13,2020-10-04,16:00,Coritiba,Sao Paulo,4-2-3-1,4-4-2,J. de Amorim Campos,F. Diniz Silva,-,Couto Pereira,1,1,PR,SP,2020,10,Sunday,Empate,2
7011,13,2020-10-04,16:00,Flamengo,Athletico-PR,4-2-3-1,4-3-3,J. Gris Vila,E. de Barros,Flamengo,Maracanã,3,1,RJ,PR,2020,10,Sunday,Vitória mandante,4
7013,13,2020-10-04,18:14,Goias,Santos,4-1-4-1,4-1-4-1,E. Alves Moreira,A. Stival,Santos,Estádio da Serrinha,2,3,GO,SP,2020,10,Sunday,Vitória visitante,5
7014,13,2020-10-04,18:15,Bahia,Sport,4-4-2,4-2-3-1,L. Venker de Menezes,J. Ribeiro Ventura,Sport,Estádio de Pituaçu,1,2,BA,PE,2020,10,Sunday,Vitória visitante,3
7012,13,2020-10-04,18:16,Fortaleza,Atletico-GO,4-2-3-1,4-2-3-1,R. Ceni,V. Carmo Mancini,-,Arena Castelão,0,0,CE,GO,2020,10,Sunday,Empate,0
7016,14,2020-10-07,18:59,Corinthians,Santos,4-4-2,4-4-2,Coelho,A. Stival,-,Neo Química Arena,1,1,SP,SP,2020,10,Wednesday,Empate,2
7018,14,2020-10-07,19:14,Bahia,Vasco,4-2-3-1,4-2-3-1,L. Venker de Menezes,R. Menezes Hubner,Bahia,Estádio de Pituaçu,3,0,BA,RJ,2020,10,Wednesday,Vitória mandante,3
7017,14,2020-10-07,19:15,Flamengo,Sport,4-2-3-1,4-2-3-1,D. Torrent Font,J. Ribeiro Ventura,Flamengo,Maracanã,3,0,RJ,PE,2020,10,Wednesday,Vitória mandante,3
7019,14,2020-10-07,19:15,Gremio,Coritiba,4-2-3-1,4-2-3-1,Renato Gaúcho,J. de Amorim Campos,Gremio,Arena do Grêmio,2,1,RS,PR,2020,10,Wednesday,Vitória mandante,3
7020,14,2020-10-07,20:31,Sao Paulo,Atletico-GO,4-1-4-1,4-2-3-1,F. Diniz Silva,V. Carmo Mancini,Sao Paulo,Morumbi,3,0,SP,GO,2020,10,Wednesday,Vitória mandante,3
7021,14,2020-10-07,20:31,Goias,Fluminense,4-4-2,4-2-3-1,E. Alves Moreira,O. Hellmann,Fluminense,Estádio da Serrinha,2,4,GO,RJ,2020,10,Wednesday,Vitória visitante,6
7022,14,2020-10-07,21:30,Botafogo-RJ,Palmeiras,4-3-3,4-2-3-1,B. Lazaroni,V. Luxemburgo da Silva,Botafogo-RJ,Estádio Nilton Santos,2,1,RJ,SP,2020,10,Wednesday,Vitória mandante,3
7023,14,2020-10-07,21:30,Fortaleza,Atlético-MG,4-2-3-1,4-1-4-1,R. Ceni,J. Sampaoli Moya,Fortaleza,Arena Castelão,2,1,CE,MG,2020,10,Wednesday,Vitória mandante,3
7024,14,2020-10-08,19:01,Athletico-PR,Ceara,4-3-3,4-2-3-1,E. de Barros,A. Ferreira,-,Estádio Joaquim Américo Guimarães,0,0,PR,CE,2020,10,Thursday,Empate,0
7025,14,2020-10-08,21:00,Bragantino,Internacional,4-2-3-1,4-1-2-1-2,M. Nogueira Barbieri,E. Coudet,Internacional,Nabizão,0,2,SP,RS,2020,10,Thursday,Vitória visitante,2
7026,15,2020-10-10,17:00,Vasco,Flamengo,4-2-3-1,4-2-3-1,A. Grasselli,D. Torrent Font,Flamengo,Estádio Vasco da Gama,1,2,RJ,RJ,2020,10,Saturday,Vitória visitante,3
7027,15,2020-10-10,18:59,Coritiba,Fortaleza,4-2-3-1,4-2-3-1,J. de Amorim Campos,R. Ceni,-,Couto Pereira,0,0,PR,CE,2020,10,Saturday,Empate,0
7028,15,2020-10-10,19:00,Palmeiras,Sao Paulo,4-2-3-1,4-2-3-1,V. Luxemburgo da Silva,F. Diniz Silva,Sao Paulo,Allianz Parque,0,2,SP,SP,2020,10,Saturday,Vitória visitante,2
7029,15,2020-10-10,21:00,Atlético-MG,Goias,4-1-4-1,4-2-3-1,J. Sampaoli Moya,E. Alves Moreira,Atletico-MG,Mineirão,3,0,MG,GO,2020,10,Saturday,Vitória mandante,3
7030,15,2020-10-11,16:00,Fluminense,Bahia,4-2-3-1,4-2-3-1,O. Hellmann,L. Venker de Menezes,Fluminense,Maracanã,1,0,RJ,BA,2020,10,Sunday,Vitória mandante,1
7031,15,2020-10-11,16:00,Santos,Gremio,4-2-3-1,4-1-4-1,A. Stival,Renato Gaúcho,Santos,Estádio Urbano Caldeira,2,1,SP,RS,2020,10,Sunday,Vitória mandante,3
7033,15,2020-10-11,18:14,Atletico-GO,Bragantino,4-2-3-1,4-2-3-1,V. Carmo Mancini,M. Nogueira Barbieri,Atletico-GO,Estádio Olímpico Pedro Ludovico Teixeira,2,1,GO,SP,2020,10,Sunday,Vitória mandante,3
7032,15,2020-10-11,18:16,Sport,Botafogo-RJ,4-2-3-1,4-3-3,J. Ribeiro Ventura,B. Lazaroni,Botafogo-RJ,Adelmar da Costa Carvalho,1,2,PE,RJ,2020,10,Sunday,Vitória visitante,3
7034,15,2020-10-11,20:29,Ceara,Corinthians,4-2-3-1,4-4-2,A. Ferreira,Coelho,Ceara,Arena Castelão,2,1,CE,SP,2020,10,Sunday,Vitória mandante,3
7035,15,2020-10-11,20:30,Internacional,Athletico-PR,4-1-3-2,4-2-3-1,E. Coudet,E. de Barros,Internacional,Estádio José Pinheiro Borda,2,1,RS,PR,2020,10,Sunday,Vitória mandante,3
6945,11,2020-10-13,17:59,Flamengo,Goias,4-2-3-1,4-3-3,D. Torrent Font,E. Alves Moreira,Flamengo,Maracanã,2,1,RJ,GO,2020,10,Tuesday,Vitória mandante,3
7036,16,2020-10-14,18:01,Palmeiras,Coritiba,4-1-4-1,4-2-3-1,V. Luxemburgo da Silva,J. de Amorim Campos,Coritiba,Allianz Parque,1,3,SP,PR,2020,10,Wednesday,Vitória visitante,4
7037,16,2020-10-14,19:15,Gremio,Botafogo-RJ,4-2-3-1,4-3-3,Renato Gaúcho,B. Lazaroni,Gremio,Arena do Grêmio,3,1,RS,RJ,2020,10,Wednesday,Vitória mandante,4
7038,16,2020-10-14,20:30,Santos,Atletico-GO,4-1-4-1,4-2-3-1,A. Stival,E. do Nascimento Souza,Atletico-GO,Estádio Urbano Caldeira,0,1,SP,GO,2020,10,Wednesday,Vitória visitante,1
7039,16,2020-10-14,21:30,Athletico-PR,Corinthians,4-2-3-1,4-3-3,E. de Barros,V. Carmo Mancini,Corinthians,Estádio Joaquim Américo Guimarães,0,1,PR,SP,2020,10,Wednesday,Vitória visitante,1
7040,16,2020-10-14,21:30,Atlético-MG,Fluminense,4-1-4-1,4-3-3,J. Sampaoli Moya,O. Hellmann,-,Mineirão,1,1,MG,RJ,2020,10,Wednesday,Empate,2
7041,16,2020-10-14,21:30,Sport,Internacional,4-4-1-1,4-2-3-1,J. Ribeiro Ventura,E. Coudet,Internacional,Adelmar da Costa Carvalho,3,5,PE,RS,2020,10,Wednesday,Vitória visitante,8
7042,16,2020-10-15,20:00,Flamengo,Bragantino,4-2-3-1,4-2-3-1,D. Torrent Font,M. Nogueira Barbieri,-,Maracanã,1,1,RJ,SP,2020,10,Thursday,Empate,2
7043,16,2020-10-16,20:00,Goias,Bahia,4-2-3-1,4-2-3-1,E. Alves Moreira,L. Venker de Menezes,-,Estádio da Serrinha,1,1,GO,BA,2020,10,Friday,Empate,2
7046,17,2020-10-17,19:00,Atletico-GO,Athletico-PR,4-2-3-1,4-3-3,E. do Nascimento Souza,E. de Barros,-,Estádio Olímpico Pedro Ludovico Teixeira,1,1,GO,PR,2020,10,Saturday,Empate,2
7047,17,2020-10-17,19:00,Coritiba,Santos,4-2-3-1,4-1-4-1,J. de Amorim Campos,A. Stival,Santos,Couto Pereira,1,2,PR,SP,2020,10,Saturday,Vitória visitante,3
7048,17,2020-10-17,19:00,Fluminense,Ceara,4-2-3-1,4-2-3-1,O. Hellmann,A. Ferreira,-,Maracanã,2,2,RJ,CE,2020,10,Saturday,Empate,4
7049,17,2020-10-17,21:00,Sao Paulo,Gremio,4-2-3-1,4-2-3-1,F. Diniz Silva,Renato Gaúcho,-,Morumbi,0,0,SP,RS,2020,10,Saturday,Empate,0
7050,17,2020-10-18,16:01,Corinthians,Flamengo,4-2-3-1,4-2-3-1,V. Carmo Mancini,D. Torrent Font,Flamengo,Neo Química Arena,1,5,SP,RJ,2020,10,Sunday,Vitória visitante,6
7051,17,2020-10-18,18:15,Internacional,Vasco,4-2-3-1,4-2-3-1,E. Coudet,A. Grasselli,Internacional,Estádio José Pinheiro Borda,2,0,RS,RJ,2020,10,Sunday,Vitória mandante,2
